text,label
"платье по размеру хорошо тянется, но ткань холодная синтетика и конечно зацепки на нем неизбежны. смотрится хорошо но к телу не приятно",одежда
"Отличное качество, мама довольна ",нет товара
Ну за такую цену возможно и ничего так.. Но больше заказывать не буду и не советую. Я столько ниток внутри в жизни не видела! И швы ужасные. 250 руб красная цена,одежда
"качество супер! жаль размер не подошёл, велико.  печалька.",обувь
"Футболка сделана из самого дерьмового хлопка к которому все липнет. При долгой носке скорее всего скатается. Сама по себе длинная, рукава почти до локтя. За такую цену довольна, но ткань оставляет желать лучшего :(",одежда
"три месяца ожидания,ужасное качество даже лук в них хранить нельзя,худший заказ на этом сайте",посуда
Качество не очень. Выглядет дёшево. Не на выход. ,одежда
"надпись китайская,для русских сллжно.  качество фигня. но в подарок положили резинку",нет товара
пришла кофта. на размер 83-73-93 рост 175 размер Л идеально. немного коротковато. Мне кофта понравилась. заказом довольна.,одежда
"очень широкие рукава, размер М на мой С велик в рукавах, но маловат в груди(86). и самое главное, не было шнурка.... как без шнурка не носить представить мне крайне сложно, так что огромный -",одежда
"Товар не пришёл, деньги вернули. Ждали очень долго ",нет товара
"Заказывала юбку 6 мая, так и не пришла, срок зашиты истёк.",одежда
"Мало , заказывала XXXL на 48 - 50 размер, а получила L на 44 размер.",одежда
"В общем нормальная, но рукава почему то коротковаты",одежда
"тонкая ткань,  но за такую цену это ожидаемо.  оказалась большая, поэтому буду подшивать.  До Хаб.  края пришла быстро.  Берите свой русский размер) Спасибо продавцу))",одежда
"Доставка быстрая, халат неплохой но очень воняет,надо проветривать долго",одежда
Товар так и не пришёл !!!!! Не стоит верить таким продавцам,нет товара
размер не совпал(меньше),обувь
"Я хотела платье как на первом фото и писала об этом продавцу , но пришло совсем другое. и все в затяжках  и с маленькой дыркой  . Я НАПИСАЛА ОБ ЭТОМ ПРОДАВЦУ НО В ОТВЕТ ТИШИНА.",одежда
"Пальто смотрится хорошо, но есть претензии к пошиву...Вылезают нитки, что нарушает ромбовидную отстрочку рисунка....получаются пробелы. На боковых швах накулемлено и присборено.",одежда
"Качество швов низкое, везде торчат нитки ",одежда
"Товар не пришёл вообще,начала спор,пришёл ответ,на непонятном языке!!!и всё ",нет товара
"Товар не получила,деньги не вернули!!! Не советую этого продавца!!!! ((((((((",нет товара
"Качество ужасное, майка прозрачная, после первой стирки весь ажур ""поплыл""",одежда
Я думала маломерка опять будет !! Но оказался комбинезон таким большим!!!,одежда
"Пришли быстро, но когда достала их, обнаружила, что есть затяжки, очень расстроило, несмотря на то, что ткань плотная. Летом в них будет жарковато. Открыла спор, попросила половину денег за товар, деньги вернули ",одежда
"Относительно размера советовалась с продавцом, он посоветовал размер L, заказала, в итоге висит на мне, как на вешалке. Недовольна таким советчиком.Юбка не такая яркая как на представленном продавцом фото, менее плотная. ",одежда
"неприятная к телу синтетика, и такое чувство, что до меня ее носили. не тратьте деньги, не стоит она этого.",одежда
"В целом понравился！  сел на 48 размер идеально. Единственний минус - при первой же стирке линял сильно, так что советую стирать отдельно вручную.",одежда
"Жуткая синтетика, ткань даже скрепит. Но зато очень яркая",одежда
Рукава рваные(((,одежда
Хорошая! Плотная. Качество огонь. Рекомендую. Доставка быстрая.,текстиль
"Отличный пиджак, пришел быстро, отслеживался,  сшит хорошо, нитки не торчат, запаха нет. Единственное размер не угадала,  на свой М заказала L в притык, но не страшно, носить буду с удовольствием.  Спасибо!",одежда
"водолазка хорошая, теплая, для тела очень приятная, мягонькая!  очень долгая доставка!  заказывала 11.11. пришла 27.12! продавец общительный, отвечал на вопросы) спасибо!",одежда
"Юбка не соответствует описанию. Покупала голубую, прислали грязно серо-синию.  Спереди на самом видном месте повреждение ткани, похоже на ожоги, ткань обуглена. Носить не буду.",одежда
Это такое Г. что нет слов.а трусики лучше бы вообще не ложили.ну какие деньги такой и товар.,одежда
"вонючие, материал стремный",нет товара
качество товара не очень,нет товара
"На фото они матовые, а пришли глянцевые ",нет товара
"Кофточка соответствует описанию. Но... не то,что думала.. но это скорее мое не внимание к деталям.. но в любом случае спасибо. Еще раз убеждаюсь что прежде чем заказывать, внимательно читать",одежда
"долгая доставка,чулки так себе,не успела одеть сразу стрелка пошла. носить постоянно их не возможно,так если только на один раз померить",одежда
Великовата(((,обувь
Сборки в коленках. Не обтягивают ,одежда
"Товар пришел очень воняет плесенью!!! рубашка вся влажная какая-то!! про размер ничего сказать не могу, так как даже не смогла ее померить!!! ужас просто!!!",одежда
"рисунок только до половины носка, то есть только сверху, нижняя часть стопы однотонным белым цветом. некрасиво выглядит переход от рисунка к белому цвету .",обувь
"Неприятный к телу. Форму держит, если есть что держать) не надела ни разу, коже не приятно, на всю площадь чашки липучка. ",одежда
"качество нормальное! но доставка оооочень долго, защита закончилась, до Омска 62 дня.",нет товара
"Продавец продлевал срок доставки, но товар так и не пришел.
На открытый спор продавец не ответил.",нет товара
Пришла блуза без одного манжета! Продавец в качестве компенсации предложил скидку на следующий заказ. В размере одного доллара. Щедро...,одежда
"Цвет блузки не соответствует, вместо белой как на фото пришла желтоватая и ткань совсем другая по качеству",одежда
спасибо. соответствует ожиданиям. качество супер.,нет товара
"Доставка чуть больше месяца, в целом хорошая юбка, только модель своеобразная, не на каждые бедра пойдёт",одежда
"Оказалсь велика, но всё равно ставлю 5 звезд, так как это уже моя ошибка. Рост 168, ОГ-92, ОТ-62. L велика, на размер меньше над о было брать. Я оказалось не такой жирной, как думала. Пизда.",одежда
"Товар шел около месяца. Платье тонкое. На карманах черный кож. заменитель смотрится дешево. Платье на бедрах сшито не закругленно, а криво. Придеться перешивать. Платье не стоит этих денег.",одежда
"Самые обыкновенные тонкие колготки, максимум 20 дэн, порвались в первый же день на пальцах. никакие они не суперпрочные. Ерунда, если бы знала, ни за что не ждала бы их месяц. Продавец обманывает.",одежда
Пришёл не тот цвет который я заказала!,одежда
"блузка классная, но мне маловата в груди, ношу 50-52. очень жаль.",одежда
размер s оказался большим,одежда
"хороший халат, правда думала ткань плотнее будет просвечивает.",текстиль
"Заказ не пришёл,я ждала 2 месяца ",нет товара
"Шло 2 ёб'ан'ых месяца, а так всё норм, рекомендую.",нет товара
"отличная жилетка,на 44 подошёл М,
длинна на на картинке короткая,есть немного ниток,но не критично,качества хорошего и наполнителя достаточно,я довольна.В подарок продавец положил резинку для волос,спасибо.",одежда
"получила через месяц в Питер. качество хорошее, у меня р-р 35-36 мне как раз. не знаю как их натягивают на 37-38",обувь
"Заказ пришел быстро, 16 дней до Смоленска. Швы ровные, размер точно указан, XL рус. 46-48, на рост 176 до середины попы.На фото лучше чем в реальности. Не оправдал ожиданий. Буду открывать спор",одежда
Товар просто не пришел ,нет товара
"Юбка так себе. Швы торчат. По бокам юбка стоит, создается впечатление, что это живот. Деньги вернули. В талии L давит, хотя обхват талии небольшой. ",одежда
жене понравилось и размер подошел,одежда
"не пришло, долго мучился со спором, продавец не хотел возвращать деньги, если вернул бы сразу без тягомотины поставил бы 5 звезд",нет товара
"КУРТКА НА теплую ОСЕНЬдо +12 ,но к сожалению оказался мал в груди,тесно",одежда
"Продавец мошенник говорил что товар будет отслеживаться,но в итоге дал не отслеживаемый трек номер...хотя я дополнительно заплатила...товар я,конечно же, не получила..очень жаль(",нет товара
"не подошёл рост, на мои162 ,длина ниже колен, рукав до кончиков пальцев. Нет различия между перелом и задом и поэтому ворот спереди слишком давит. размер соответствует описанию. материал акрил или вискоза, к телу нормально",одежда
На 52 размер 3ХХХLподошел. Качество хорошее,одежда
"В целом не плохо! Маломерит, мой  размер L, заказывала XL-прям впритык, хотелось бы свободнее! Из недочетов-был грязный рукаф кофты, но отстирался хорошо! 1,5 недели лежал заказ на почте, смс не приходила",одежда
Заказ не пришел. Открыла спор. Деньги еще не вернули.,нет товара
"Платье  пришло за 10 дней, ткань не очень, мне не понравилась, но дома носить можно))",одежда
Полностью соответствует описанию ,нет товара
Изображение на футболке как клеёнка на ощупь,одежда
"На хлопок не похоже, нитки торчат. размер не соответствует, нужно брать  на 2-3 размера больше.",одежда
"Спасибо продавцу, хорошие теплые штаны, на мой 44 размер-идеально! Тянутся хорошо. Талия высокая. Рекомендую.",одежда
классная юбка за неделю,одежда
"Пришли быстро, качество нормальное ",нет товара
"Надо было доставлять почтой,а не курьером. Долго не могла получить товар по этой причине. Юбка оказалась длиннее,чем на фото.",одежда
"Рубашка очень хорошая. Ткань тонкая, так что скорее летняя. Очень приятная к телу. 
По размеру - на меня свободно. Длина рукавов (у меня длинные руки) и самой рубашки - идеально.",одежда
"очень короткая , рисунок тусклый , и в целом на фото е=не очень похоже .",нет товара
"в целом рубашка не плохая,жаль только не угадала с размером оказалась велика",одежда
Мягкий на ощупь. ,текстиль
по размеру 5xl на наш 52. обхват груди 115.,одежда
"плохо, но футболку я так и не получила, в последнее время я мало, что получаю с али, ничего не доходит почти. Надоело.",одежда
Дырка в на плече (,нет товара
"Деньги на ветер иначе не назовёшь! После стирки перекосилось! Цвета естественно облезли, размер маломерит как минимум на 2-3 размера! Продавец просил 5! Хотя по факту не за что совершенно!",одежда
"Платье пришло таким мокрым,что можно было выжать пол ведра воды с него! Я возмущена,как вообще такое возможно!Платье имеет стойкий запах сырости и плесени!!!!Не рекомендую продавца",одежда
"Все хорошо, отправили быстро. В подарок носочки ))",обувь
"отличное платье,покупаю не первый раз",одежда
"Хорошее платье, очень аккуратно сшито!рада на все ,а доставка вообще 7 дней.Да и ещё подарок положили, спасибо очень приятно!",одежда
тёплые. доставка быстрая.рекомендую.,текстиль
Ужасные прлсто.,нет товара
"Носки хорошие и подошли по размеру, приятного качество и не тёплые !!! Но ждали полтора месяца!!!!",одежда
"Товар пришел быстро, но качество так себе. Но за такие деньги сойдет.",нет товара
Кофта шикарная !но с размером не угадали !!!!пришло на 2 размера меньше всего ,одежда
"Очень тонкие, большой размер, порвались в первый день",обувь
"пижама славная , но размер не соответствует.",одежда
заказано 29 сентября. пришло 1 декабря. 3 месяца. просто ужас.,нет товара
"Посылка пришла быстро , но свитер был поврежден :( . Часть денег вернули! ",одежда
Быстро Качественно. Я довольна,нет товара
Заказ не пришел! Верните деньги!,нет товара
"Платье тряпочка!Тонкое,подчёркивает все изъяны ((( на рост 174 рукав коротковат.Горловина не пришита как обычно это бывает,а целековая (на фото видно) из-за этого спереди и сзади топорщится.Не советую однозначно.",одежда
"Заказ пришел за месяц. Размер соответствует.  Очень довольна рубашкой: все швы ровные и аккуратные, пуговицы симпатичные, ткань приятная на ощупь.В  холодную погоду использую вместо джемпера.",одежда
СПАСИБО. оригинально. И аккуратно. рекомендую.,нет товара
"Платье быстро доставлено, на рост 160 см талия на месте, качество отличное, советую данного поставщика. Дефектов, ниток нет. Ткань хлопок 100 %, мнётся, но не критично. Покупкой довольна.",одежда
"качество плохое все отклеивается, не стоит этих денег",украшения и аксессуары
"Качество конечно плохое,нитки торчат,ткань мнущаяся..ну за ту цену наверное такое и качество.заказывала вещи первый раз..",одежда
"Заказ получила очень быстро за 15 дней до Оренбурга. Качество хорошее, но размер 5х на 54 большеват. Надо было заказать меньше. В следующей раз учту.",одежда
"Брюки конечно очень не плохие, заказывала чёрные, на сзади на штанинах оказались белые пятна, скорее всего заводской брак, после стирки ничего не изменилось. Продавец вернул деньги",одежда
"очень крутая куртка. Супер. спасибо. на вес 65 XL идеально,но если кто любит по свобод ней  , лучше на 3 размера больше брать. доставка 14 дней до новороссийска",одежда
прикольный но колючийдоставка быстрая,нет товара
Отличные водолазки. Пришли три в одной посылке быстро.,одежда
"качество не оч, и какая то не пропорциональная. не как на картинке. на 300 р и 3 звезды тянет. брала xl хотя ношу м. села тютя в тютю",одежда
Качество плохое. Прием выкройка ужасная. Одна штанина длиннее,одежда
"Парка шла 31 день до Сочи,3Xl как L выглядит как игрушечная,нитки торчат.",одежда
Эта шапка соответсвует заказанной ,одежда
"неплохое качество, есть запах, но после стирки исчез. спасибо.",текстиль
"размер мал,думала подойдет! но хорошенькие!отдам сестре. рекомендую",обувь
Продавец плохой.Юбки узкие.,одежда
"Ждала заказ 2 месяца. Не дождалась,открыла спор. Продавец общительный, деньги вернул,жаль не получила блузку. ",одежда
"Все Ок, соответствует описанию.",нет товара
все отлично как на картинке и в описании рекомендую пришло за две недели до Сургута,нет товара
"Товар не пришёл, ждала два месяца. Деньги поставщике увернул только после долгой переписки и споров. Очень разочарована.",нет товара
I really like my new shirt! It looks very beautiful,одежда
"Заказывала размер L ,а соответствует S.",одежда
От кофты запах ужасный да и навид она неочень я растроилась  ставлю три звезды потомучто без косяков с шита,одежда
"Быстро отправили и размер подошел, СПАСИБО ПРОДАВЦУ БУДУ РЕКОМЕНДОВАТЬ",обувь
"Отвратительно пошито, полоски кривые, вся косая кривая, не соответствует размерной сетке размер ХЛ как с . Открыла спор вернула часть денег. Доставка очень долгая и не было трекинга месяц",одежда
"Дырки, нитки , затяжки ",одежда
Спасибо.Отличная водолазка.Очень быстрая доставка .Подошла на размер 44-46.,одежда
"Все супер, пришло быстро",нет товара
"класс!мне понравились,очень красивые, стразы держатся крепко!",украшения и аксессуары
"Ждала три месяца, вернули деньги, товар так и не пришел",нет товара
"качестко хорошее,рекомендую.Продавцу 5+++",нет товара
Пришли с браком некоторые,нет товара
Очень не довольна доставкой,нет товара
"Платье отлично село. качество материала норм, все швы аккуратненькие. Рукава чуть коротковатые, но это не критично. Доставка три недели",одежда
Не очень. ,нет товара
"цифры и буквы на комплекте  написаны в зеркальном отображении ..шёл товар 
ну не очень быстро на фоне других..ткань хорошая но штаны смотрятся вообще как шаровары... очень свободные ...ну вот так очень недоволен товаром",одежда
"Описание не точное ткань так себе, заказывала м пришла на размер меньше ",одежда
"Шла наверное месяца полтора, цвет не совсем такой как на фото, но шапка все равно очень милая)",одежда
Не пришла ! Я в расстройстве не заказывайте с этого магазина ,нет товара
товар не пришел. продавец вернул деньги.,нет товара
ткань очень плотная для летнего платья. Длина изделия короче чем указано в описании.,одежда
"Товар не соответствует описанию. После спора продавец вернул часть средств, что немного сгладило разочарование от покупки
.",нет товара
Ждала заказ на Сахалин 60 дней. Но платье так и не пришло. Продавец вернул деньги. Очень не довольна. Зря прождала столько времени,одежда
заказала 24 августа пришла 18 октября,нет товара
очень короткая,нет товара
"все супер, заказываю уже третий раз",нет товара
"отличные носки, заказала 5 пар разных, всё прислали верно. тянутся хорошо - на ногу 40 размера подошли.и доставка быстрая, так что рекомендую однозначно!!",обувь
"очень плахой материал,совсем не соответствует фото.кароче фигня",нет товара
очень маломерят,обувь
"Ужасная, из серии ожидание/реальность",нет товара
Продавец слукавил. Материал шарфв не является обещанным кашемиром.,одежда
"Заказ пришёл в Тюмень за 2 недели. Размер соответствует. Заказала L , ог103, от79, об97 хорошо сидит. Качество оставляет желать лучшего. За такие деньги думаю хороший вариант ",одежда
ыв,нет товара
"Юбка хорошего качества, но мне велика, мой объём бёдер 89см",одежда
"хорошее качество, сшито аккуратно. размер XL подошёл на мой 46-48. карман с одной стороны - это странно)))",одежда
"не 5 х совершенно. на 48 русский тянет.
 качество слабое. у китайцев на рынке такой купила бы дешевле",обувь
"заказывала 21.09 пришли 4.10,качество хорошее а вот размер я не ожидала что будет такой большой ,разочарована больше не буду брать",одежда
"раньше заказывала такую же юбку но розового цвета, очень понравилась и решила серую заказать.  но очень разочаровало качество.  ужасное ... синтетика. не заказывайте.  раньше лучше качество было- ткань была под замш.",одежда
"заказывала  CLOVEZ Store 40 ден, пришли bonas 280 ден, доставка 6 недель",нет товара
размер не подошёл. брала xl на 48 рос. даже на вид они не больше s.Ки - м. Ки к тому же они тонкие! в прошлый раз заказывала в другом магазине они были намного лучше и теплее!,одежда
"Кофта прикольная, хороша села на размер S, 42, не пахнет, но белая немного просвечивает. Ехала в москву около месяца.",одежда
размер s брала...выглядит как м,одежда
Огорчение долго шёл товар,нет товара
"Размер подошёл ,все отлично",обувь
"К сожалению,посылка была украдена из курьерской машины.Ни шубы ,ни денег.Очень обидно.",одежда
"Совсем не понравилось качество, особенно ""синтетический"" блеск. Швов спереди и сзади на бедрах нет, что делает фигуру плоской. С продавцом не общалась.",одежда
"Кофта отличного качества, приятная к телу. На российский 46-48 р-р М сел идеально.",одежда
Все супер! М на с подойдёт ,обувь
качество товара подвело,нет товара
Товар не отслеживался и не пришёл. Продавец сам перевёл в статус полученных. Не рекомендую.,нет товара
пришла блузка по описанию все совпадает но к сожалению маленькая,одежда
Нормальные лосины. Немного блестят. На попе сидят не очень комфортно.,одежда
пришла быстро.спасибо продавцу.,нет товара
товар мне не понравился открыли спор.Продовец оказался добросовестным и вернул мне деньги,нет товара
"Брюки не стоят своих денег. Тонкие, карман пришит к боковому шву, клепка сразу отвалилась, при первой же примерке. На ногах сидят плохо, все в складках...не советую...",одежда
"шёл заказ очень долго! не знаю кто виноват, почта или продавец. заказала в июне, пришло в середине сентября. на размер 46-48 L село хорошо, но очень короткая. носить не буду",одежда
"The product came quickly, but the color is not the same as stated. Place pink I got a pale purple. Size does not match.",одежда
"отличный свитер) быстрая доставка! на 44-46 идеально, рост 172, единственное рукава впритык",одежда
"платье пришло криво сшитое на юбке, придётся перешивать. открыла из за этого спор, 250 р вернул али",одежда
"Качество так себе, но и цена соответствует",нет товара
Цвет на много темнее чем я заказывала.,одежда
Товар так сибе . Синтетика . Утепленый. Штоны на 180  кофта норм  хл размер . Рост у меня 160неного большоват но носить можно,одежда
по фото смотриться как плотный зимний материал. а на самом деле тонкий материал. с размером не угодала. на рост 162см. чуть ниже колено. без кармана. заказала S ку. большивато.,одежда
"не получил товар
при этом стоит отметка о вручении",нет товара
"Качество, конечно не очень, торчали нитки, халат пришёл на размер больше, чем заказывала, хл до колена. В целом нормально, трек отслеживается. ",одежда
"заказывала маме парку голубого цвета, пришел грязно серый, 3 звезды только за оперативность.Разочарована",одежда
еще не пришел,нет товара
"Шерты просвечивают, футболка свободная, очень хорошо за эту стоимость",одежда
"заказала дочке, но ощупь приятная , рукава длинны . xxxl на 48 русский",одежда
"Ооооочень крутая и качественная толстовка,пришла недели за 3 в Москву",одежда
"Размерная сетка не соответсвует действительности, очень жаль, так ждала эту юбку. На бёдра 96 см юбка в размере М оказалась огромной. Обидно тратить дополнительные деньги на ателье, чтобы ее ушили",одежда
"Хорошее качество, доставка меньше месяца.",нет товара
"Замечательное качество за такие деньги.
Очень красиво сидит. Доставка быстрая. Рекомендую этот товар. 

Very good quality for this price. Fast shipping. I recommend this product.",одежда
"размер маленький ,а так очень даже ничего",обувь
"отличный товар, без запаха,размер подходит на 42-44.быстрая доставка)))рекомендую",одежда
"Очень хороший жилет, качественно сшит. Однако на размеры 94-80-104 вполне можно было бы взять xxl. А то начиталась отзывов и взяла хxxl. Большевато. ",одежда
It ok like it,нет товара
"Платье хорошее, немного велико. Не очень хорошо выполнен шов с одной стороны, вылезла ткань, но это легко устраняется.За такие деньги это ерунда.",одежда
"Товар не пришёл в Москву, деньги вернули ",нет товара
"Доставка меньше месяца, курьером СДЕК домой, на российский 48 взяла xl, сидит свободно, как и должна. По длине хотелось чуть больше. Замечаний к качеству нет, мягкая, уютная. Буду ещё заказывать у данного продавца.",одежда
"Кофта не пришла, три раза открывала спор и все бестолку, ужасный лживый продавец, кормил завтраками три месяца ",одежда
оказалось мало и короткие,обувь
доставка быстрая продавец молодец.,нет товара
"Рубашка красивая, сидит отлично. Но вот на рукаве пятна жёлтые , как от масла, не отстирываются.",одежда
"ура! обожаю этот джемпер! у меня такой еще серый есть. очень красивый и теплый! отдельное спасибо продавцу за то, что нашел для меня одну штуку, потому что изначально была инфа, что товар закончился! спасибо!",одежда
Отличный и качественный товар!!!,нет товара
Чистая синтекика,текстиль
"Не бюстгалтера,не денег . Теперь буду оплачивать только по факту.",нет товара
"Не очень красивые, какие-то слишком яркие.",украшения и аксессуары
"хорошая, тёплая шапочка,  заказом довольна)",одежда
"Ужасно! Заказ так и не пришёл, продавец на контакт не идёт! Разочарована, открыла спор. Деньги не вернули! Развод! Никогда здесь не заказывайте!",нет товара
Это вообще не соответствует фотографии!!!это какой то мешок!!!,нет товара
"30.11.17-30.12.17, офигенное платье,  теплое,  чуть-чуть  великовато  на 40р, рекомендую всем",одежда
"очень широкая майка, как наволочка",одежда
"Платье мне не пришло,  деньги вернули",одежда
"Заказ шёл месяц. Как все и говорят. Трусики норм, а вот майка большая ее бы сантиметров на 5 меньше. ",одежда
"Ношу джинсы 25-26 размера, шорты заказала 26р., сели хорошо. Шорты хорошие, но не было одной пуговицы.",одежда
они хорошего качества. быстрый прибыл и упаковке. material is nice to wear.,одежда
"херня. эклетризуется, на ощупь не приятное. жена не носит.",одежда
"Заказ так и не пришёл,спор открыть не даёт ,деньги соответственно не вернули!!!",нет товара
"блузка пришла с браком,, открыла спор, продавец вернул деньги, спасибо ему за возврат средств",одежда
"Ужасные джинсы, на ОБ 99 взяла L,  они оказались малы:(",одежда
продавец отправил товар на неверный адрес. Должны вернуть деньги. очень жаль.,нет товара
"Неплохое качество, подходит по размеру ",обувь
Продавец вместо размера М отправил xs . Качество нормальное,одежда
"нет силиконовой полоски. на ноге держаться не будут без пояса для чулок. очень узкая ажурная полоска, перетягивает ногу. короче фигня",обувь
"s на 46 даже чуток великовата, а так очень хорошие леггинсы, материал качественный, рекомендую",одежда
На фото товар выглядит более качественным...,нет товара
Отличная пижамка за эти деньги! На 90-67-95 подошел размер М! Пришло в спб за 8 дней.,одежда
"Размер не соответствует заявленному, на 40 Мка оказалась мала",обувь
"отличный костюм! мягкий уютный! немного тянется в коленях, но не фатально! на 44 взяла L подошло отлично! рекомендую! позже закажу в другом цвете!",одежда
товар не пришел продавец деньги вернул,нет товара
"не успела достать из пакета, как все затрещало и прелипло к телу, оно ужасно электрезуется, не знаю как такое носить, на вид красиво а ткань не пригодна для носки(((( я настроенная так ждала эту посылку (((",одежда
"товар не пришел, деньги не вернули. не советую",нет товара
"В Краснодар шла около месяца. 
Размер xs подошел отлично.
Все кнопки рабочие, цвет хороший. 
Юбкой довольна!",одежда
"Продавец провтыкал сроки доставки дошло до спора и бац товар прилетел спор отменил.
Брал ребенку так что не смотрите на рост и вес ))",товары для детей
"не совсем то, что на фото.",нет товара
Товар плохого качества даже для этой цены.Размер по таблице не совпал при росте 163 см и весе 53 кг .М оказалась очень маленьким.Дома в магазине увидел такую же вещ дешевле чем у этого продавца.,одежда
качество хорошее. заказываю второй раз.,нет товара
совсем не то что в описании. мне большая и очень.,нет товара
Заказ не пришел. Был открыт спор.Деньги вернули.,нет товара
Хороший товар. отличный продавец.,нет товара
"Качество неплохое, есть запах. На рост 171 малы",одежда
Цвет не совпадает. заказала нежно розовый получила песочный. Размер подошел,одежда
"Заказала 04.09,пришло 11.10. Доставил курьер.  Все подошло. Мята, но не критично. Талия 92,....опа-106. Влезла прекрасно!",одежда
"Товар до сих пор не отправлен, он только готов к отправке... верните деньги!!!",нет товара
"Читаешь размерную сетку, а в итоге, мало. Качество хорошее, закажу большего размера.",обувь
"хороший свитер,но он не такой широкий и рукава вообще не по всей длине,но подошел,так что 4.продавцу спасибо.",одежда
